시점,월별,가해자법규위반,사고건수,사망자수,부상자수
2005,전체,과로,2,0,9
2005,전체,과로,2,0,3
2005,전체,우선권양보불이행,30,0,43
2005,전체,우선권양보불이행,17,0,26
2005,전체,진로양보불이행,82,1,116
2005,전체,진로양보불이행,61,0,94
2005,전체,안전운전불이행,60332,1830,91289
2005,전체,안전운전불이행,61200,2658,93918
2005,전체,교차로운행방법위반,10739,104,18172
2005,전체,교차로운행방법위반,7045,46,12141
2005,전체,보행자보호의무위반,2968,79,3079
2005,전체,보행자보호의무위반,2396,100,2505
2005,전체,차로위반진로변경,479,4,752
2005,전체,차로위반진로변경,495,7,791
2005,전체,직진우회전진행방해,769,4,1196
2005,전체,직진우회전진행방해,555,3,907
2005,전체,철길건널목통과방법,5,4,5
2005,전체,철길건널목통과방법,3,2,3
2005,전체,긴급차피양의무위반,3,0,8
2005,전체,긴급차피양의무위반,1,0,3
2005,전체,과속,199,51,346
2005,전체,과속,245,114,308
2005,전체,앞지르기방법위반,42,5,56
2005,전체,앞지르기방법위반,34,0,62
2005,전체,앞지르기금지위반,311,15,496
2005,전체,앞지르기금지위반,131,2,219
2005,전체,중앙선침범,7725,429,15323
2005,전체,중앙선침범,6891,340,12977
2005,전체,신호위반,10980,164,18181
2005,전체,신호위반,12290,192,21897
2005,전체,안전거리미확보,11031,44,20278
2005,전체,안전거리미확보,9990,35,18019
2005,전체,일시정지위반,192,2,302
2005,전체,일시정지위반,106,0,192
2005,전체,부당한회전,981,25,1250
2005,전체,부당한회전,992,6,1412
2005,전체,기타,2682,48,3138
2005,전체,기타,2155,61,2684
2005,전체,정비불량,8,0,30
2005,전체,정비불량,2,1,3
2005,1월,우선권양보불이행,2,0,2
2005,1월,우선권양보불이행,2,0,4
2005,1월,진로양보불이행,3,0,5
2005,1월,진로양보불이행,7,0,11
2005,1월,안전운전불이행,4297,146,6629
2005,1월,안전운전불이행,4351,219,6835
2005,1월,교차로운행방법위반,772,5,1272
2005,1월,교차로운행방법위반,537,6,943
2005,1월,보행자보호의무위반,201,3,210
2005,1월,보행자보호의무위반,170,8,176
2005,1월,차로위반진로변경,33,0,53
2005,1월,차로위반진로변경,32,0,46
2005,1월,직진우회전진행방해,50,1,77
2005,1월,직진우회전진행방해,41,0,67
2005,1월,철길건널목통과방법,2,2,0
2005,1월,과속,11,3,15
2005,1월,과속,10,7,6
2005,1월,앞지르기방법위반,2,1,1
2005,1월,앞지르기방법위반,4,0,6
2005,1월,앞지르기금지위반,25,3,37
2005,1월,앞지르기금지위반,6,0,17
2005,1월,중앙선침범,693,26,1438
2005,1월,중앙선침범,541,34,1049
2005,1월,신호위반,819,11,1388
2005,1월,신호위반,895,14,1702
2005,1월,안전거리미확보,791,3,1488
2005,1월,안전거리미확보,691,4,1269
2005,1월,일시정지위반,13,0,25
2005,1월,일시정지위반,7,0,13
2005,1월,부당한회전,60,1,76
2005,1월,부당한회전,91,2,132
2005,1월,기타,174,1,209
2005,1월,기타,161,4,212
2005,2월,우선권양보불이행,1,0,2
2005,2월,진로양보불이행,2,0,2
2005,2월,진로양보불이행,3,0,5
2005,2월,안전운전불이행,3490,106,5512
2005,2월,안전운전불이행,3826,186,5925
2005,2월,교차로운행방법위반,682,9,1168
2005,2월,교차로운행방법위반,440,1,765
2005,2월,보행자보호의무위반,163,5,168
2005,2월,보행자보호의무위반,145,5,148
2005,2월,차로위반진로변경,27,0,42
2005,2월,차로위반진로변경,37,0,65
2005,2월,직진우회전진행방해,44,0,67
2005,2월,직진우회전진행방해,30,0,56
2005,2월,과속,10,2,18
2005,2월,과속,15,10,11
2005,2월,앞지르기방법위반,2,1,1
2005,2월,앞지르기방법위반,1,0,2
2005,2월,앞지르기금지위반,15,1,30
2005,2월,앞지르기금지위반,9,0,15
2005,2월,중앙선침범,523,30,1047
2005,2월,중앙선침범,504,25,966
2005,2월,신호위반,718,13,1248
2005,2월,신호위반,814,16,1428
2005,2월,안전거리미확보,680,2,1258
2005,2월,안전거리미확보,623,4,1129
2005,2월,일시정지위반,15,1,24
2005,2월,일시정지위반,5,0,11
2005,2월,부당한회전,53,0,62
2005,2월,부당한회전,67,1,102
2005,2월,기타,147,2,169
2005,2월,기타,153,11,189
2005,3월,우선권양보불이행,2,0,5
2005,3월,우선권양보불이행,2,0,2
2005,3월,진로양보불이행,9,0,13
2005,3월,진로양보불이행,4,0,7
2005,3월,안전운전불이행,4739,126,6961
2005,3월,안전운전불이행,4732,211,7039
2005,3월,교차로운행방법위반,834,3,1366
2005,3월,교차로운행방법위반,578,2,979
2005,3월,보행자보호의무위반,264,9,269
2005,3월,보행자보호의무위반,189,3,201
2005,3월,차로위반진로변경,36,0,53
2005,3월,차로위반진로변경,27,1,39
2005,3월,직진우회전진행방해,48,0,67
2005,3월,직진우회전진행방해,33,0,65
2005,3월,과속,19,5,23
2005,3월,과속,24,12,29
2005,3월,앞지르기방법위반,2,0,2
2005,3월,앞지르기방법위반,2,0,3
2005,3월,앞지르기금지위반,34,2,54
2005,3월,앞지르기금지위반,11,0,22
2005,3월,중앙선침범,572,44,1051
2005,3월,중앙선침범,496,26,914
2005,3월,신호위반,831,10,1314
2005,3월,신호위반,981,10,1739
2005,3월,안전거리미확보,777,3,1345
2005,3월,안전거리미확보,748,3,1280
2005,3월,일시정지위반,22,0,29
2005,3월,일시정지위반,8,0,9
2005,3월,부당한회전,83,4,100
2005,3월,부당한회전,81,0,115
2005,3월,기타,223,1,254
2005,3월,기타,168,2,199
2005,3월,정비불량,1,0,2
2005,4월,과로,1,0,1
2005,4월,우선권양보불이행,4,0,4
2005,4월,우선권양보불이행,1,0,1
2005,4월,진로양보불이행,7,0,12
2005,4월,진로양보불이행,10,0,17
2005,4월,안전운전불이행,5280,147,7691
2005,4월,안전운전불이행,4976,214,7622
2005,4월,교차로운행방법위반,846,10,1405
2005,4월,교차로운행방법위반,599,7,1049
2005,4월,보행자보호의무위반,282,4,300
2005,4월,보행자보호의무위반,205,6,214
2005,4월,차로위반진로변경,29,0,49
2005,4월,차로위반진로변경,32,0,47
2005,4월,직진우회전진행방해,66,0,115
2005,4월,직진우회전진행방해,49,0,78
2005,4월,과속,17,5,24
2005,4월,과속,24,11,32
2005,4월,앞지르기방법위반,9,0,17
2005,4월,앞지르기방법위반,4,0,7
2005,4월,앞지르기금지위반,29,2,51
2005,4월,앞지르기금지위반,11,0,16
2005,4월,중앙선침범,540,31,1048
2005,4월,중앙선침범,525,27,982
2005,4월,신호위반,940,19,1562
2005,4월,신호위반,1029,11,1905
2005,4월,안전거리미확보,905,1,1758
2005,4월,안전거리미확보,760,3,1348
2005,4월,일시정지위반,17,0,27
2005,4월,일시정지위반,4,0,8
2005,4월,부당한회전,99,2,128
2005,4월,부당한회전,86,0,117
2005,4월,기타,252,3,289
2005,4월,기타,179,4,207
2005,5월,우선권양보불이행,2,0,3
2005,5월,우선권양보불이행,2,0,2
2005,5월,진로양보불이행,10,0,12
2005,5월,진로양보불이행,6,0,7
2005,5월,안전운전불이행,5652,168,8355
2005,5월,안전운전불이행,5364,228,8010
2005,5월,교차로운행방법위반,953,7,1563
2005,5월,교차로운행방법위반,656,6,1173
2005,5월,보행자보호의무위반,290,11,294
2005,5월,보행자보호의무위반,222,8,240
2005,5월,차로위반진로변경,50,0,73
2005,5월,차로위반진로변경,45,0,75
2005,5월,직진우회전진행방해,69,0,98
2005,5월,직진우회전진행방해,44,1,64
2005,5월,긴급차피양의무위반,1,0,1
2005,5월,과속,26,7,38
2005,5월,과속,25,12,24
2005,5월,앞지르기방법위반,4,0,6
2005,5월,앞지르기방법위반,3,0,9
2005,5월,앞지르기금지위반,25,0,49
2005,5월,앞지르기금지위반,10,0,19
2005,5월,중앙선침범,619,39,1183
2005,5월,중앙선침범,583,34,1093
2005,5월,신호위반,960,12,1585
2005,5월,신호위반,1060,23,1844
2005,5월,안전거리미확보,953,8,1742
2005,5월,안전거리미확보,806,2,1392
2005,5월,일시정지위반,11,0,14
2005,5월,일시정지위반,12,0,35
2005,5월,부당한회전,94,0,120
2005,5월,부당한회전,81,0,124
2005,5월,기타,242,2,297
2005,5월,기타,205,3,264
2005,6월,과로,1,0,7
2005,6월,우선권양보불이행,2,0,2
2005,6월,우선권양보불이행,1,0,1
2005,6월,진로양보불이행,7,0,12
2005,6월,진로양보불이행,5,0,8
2005,6월,안전운전불이행,5301,151,7915
2005,6월,안전운전불이행,5110,179,7711
2005,6월,교차로운행방법위반,943,8,1583
2005,6월,교차로운행방법위반,595,3,1032
2005,6월,보행자보호의무위반,257,4,268
2005,6월,보행자보호의무위반,190,4,203
2005,6월,차로위반진로변경,49,0,86
2005,6월,차로위반진로변경,40,1,57
2005,6월,직진우회전진행방해,66,0,95
2005,6월,직진우회전진행방해,51,0,82
2005,6월,철길건널목통과방법,1,1,1
2005,6월,철길건널목통과방법,1,0,3
2005,6월,긴급차피양의무위반,1,0,3
2005,6월,과속,21,4,56
2005,6월,과속,14,6,29
2005,6월,앞지르기방법위반,3,0,5
2005,6월,앞지르기방법위반,3,0,8
2005,6월,앞지르기금지위반,33,1,51
2005,6월,앞지르기금지위반,18,1,27
2005,6월,중앙선침범,628,36,1231
2005,6월,중앙선침범,544,21,1057
2005,6월,신호위반,935,17,1566
2005,6월,신호위반,967,20,1663
2005,6월,안전거리미확보,920,7,1666
2005,6월,안전거리미확보,777,2,1403
2005,6월,일시정지위반,15,0,25
2005,6월,일시정지위반,11,0,18
2005,6월,부당한회전,69,2,80
2005,6월,부당한회전,84,0,113
2005,6월,기타,238,3,283
2005,6월,기타,189,5,240
2005,6월,정비불량,2,0,4
2005,7월,우선권양보불이행,4,0,9
2005,7월,우선권양보불이행,3,0,7
2005,7월,진로양보불이행,6,0,10
2005,7월,진로양보불이행,5,0,7
2005,7월,안전운전불이행,5303,152,8212
2005,7월,안전운전불이행,5334,206,8180
2005,7월,교차로운행방법위반,952,11,1613
2005,7월,교차로운행방법위반,636,5,1076
2005,7월,보행자보호의무위반,277,7,288
2005,7월,보행자보호의무위반,206,9,222
2005,7월,차로위반진로변경,33,2,46
2005,7월,차로위반진로변경,43,0,70
2005,7월,직진우회전진행방해,69,0,102
2005,7월,직진우회전진행방해,58,0,97
2005,7월,철길건널목통과방법,2,2,1
2005,7월,과속,15,2,31
2005,7월,과속,19,7,20
2005,7월,앞지르기방법위반,5,0,7
2005,7월,앞지르기방법위반,3,0,3
2005,7월,앞지르기금지위반,19,2,23
2005,7월,앞지르기금지위반,11,0,15
2005,7월,중앙선침범,668,37,1304
2005,7월,중앙선침범,609,32,1094
2005,7월,신호위반,960,16,1553
2005,7월,신호위반,1004,18,1827
2005,7월,안전거리미확보,974,2,1844
2005,7월,안전거리미확보,851,3,1563
2005,7월,일시정지위반,14,0,32
2005,7월,일시정지위반,8,0,13
2005,7월,부당한회전,87,2,109
2005,7월,부당한회전,83,1,106
2005,7월,기타,216,4,260
2005,7월,기타,197,8,238
2005,7월,정비불량,1,0,2
2005,8월,과로,1,0,2
2005,8월,우선권양보불이행,3,0,3
2005,8월,진로양보불이행,9,0,12
2005,8월,진로양보불이행,3,0,3
2005,8월,안전운전불이행,5208,159,8266
2005,8월,안전운전불이행,5483,220,8593
2005,8월,교차로운행방법위반,1031,11,1910
2005,8월,교차로운행방법위반,633,6,1117
2005,8월,보행자보호의무위반,203,7,217
2005,8월,보행자보호의무위반,201,4,211
2005,8월,차로위반진로변경,49,1,72
2005,8월,차로위반진로변경,46,2,74
2005,8월,직진우회전진행방해,80,2,138
2005,8월,직진우회전진행방해,41,0,59
2005,8월,긴급차피양의무위반,1,0,1
2005,8월,과속,11,6,35
2005,8월,과속,24,13,40
2005,8월,앞지르기방법위반,2,0,2
2005,8월,앞지르기방법위반,5,0,10
2005,8월,앞지르기금지위반,25,2,33
2005,8월,앞지르기금지위반,16,0,24
2005,8월,중앙선침범,702,41,1513
2005,8월,중앙선침범,606,28,1203
2005,8월,신호위반,943,12,1606
2005,8월,신호위반,1065,22,1887
2005,8월,안전거리미확보,1044,2,2000
2005,8월,안전거리미확보,936,2,1711
2005,8월,일시정지위반,19,1,34
2005,8월,일시정지위반,11,0,16
2005,8월,부당한회전,94,3,141
2005,8월,부당한회전,90,1,121
2005,8월,기타,248,10,295
2005,8월,기타,201,6,252
2005,8월,정비불량,1,1,2
2005,9월,우선권양보불이행,3,0,5
2005,9월,진로양보불이행,9,0,13
2005,9월,진로양보불이행,2,0,2
2005,9월,안전운전불이행,5206,152,7653
2005,9월,안전운전불이행,5458,249,8395
2005,9월,교차로운행방법위반,909,10,1624
2005,9월,교차로운행방법위반,543,3,892
2005,9월,보행자보호의무위반,245,5,249
2005,9월,보행자보호의무위반,240,13,245
2005,9월,차로위반진로변경,39,0,66
2005,9월,차로위반진로변경,50,1,86
2005,9월,직진우회전진행방해,63,1,116
2005,9월,직진우회전진행방해,48,1,80
2005,9월,철길건널목통과방법,2,1,3
2005,9월,과속,18,7,23
2005,9월,과속,24,6,39
2005,9월,앞지르기방법위반,4,0,6
2005,9월,앞지르기방법위반,5,0,7
2005,9월,앞지르기금지위반,28,0,43
2005,9월,앞지르기금지위반,14,0,21
2005,9월,중앙선침범,669,49,1355
2005,9월,중앙선침범,596,29,1163
2005,9월,신호위반,872,15,1466
2005,9월,신호위반,1178,17,2096
2005,9월,안전거리미확보,979,3,1764
2005,9월,안전거리미확보,916,2,1651
2005,9월,일시정지위반,18,0,26
2005,9월,일시정지위반,11,0,16
2005,9월,부당한회전,90,3,109
2005,9월,부당한회전,57,0,80
2005,9월,기타,260,3,293
2005,9월,기타,203,7,244
2005,10월,과로,1,0,2
2005,10월,우선권양보불이행,3,0,4
2005,10월,우선권양보불이행,1,0,1
2005,10월,진로양보불이행,12,1,15
2005,10월,진로양보불이행,9,0,19
2005,10월,안전운전불이행,5507,187,8378
2005,10월,안전운전불이행,5649,270,8679
2005,10월,교차로운행방법위반,1052,15,1729
2005,10월,교차로운행방법위반,663,3,1133
2005,10월,보행자보호의무위반,252,8,258
2005,10월,보행자보호의무위반,205,12,209
2005,10월,차로위반진로변경,54,0,86
2005,10월,차로위반진로변경,63,0,110
2005,10월,직진우회전진행방해,76,0,119
2005,10월,직진우회전진행방해,61,1,94
2005,10월,긴급차피양의무위반,1,0,6
2005,10월,과속,18,4,24
2005,10월,과속,22,9,32
2005,10월,앞지르기방법위반,3,2,4
2005,10월,앞지르기방법위반,1,0,2
2005,10월,앞지르기금지위반,35,2,56
2005,10월,앞지르기금지위반,7,0,12
2005,10월,중앙선침범,667,37,1328
2005,10월,중앙선침범,596,37,1067
2005,10월,신호위반,1041,18,1729
2005,10월,신호위반,1117,11,1958
2005,10월,안전거리미확보,1081,4,1970
2005,10월,안전거리미확보,923,5,1779
2005,10월,일시정지위반,16,0,21
2005,10월,일시정지위반,11,0,22
2005,10월,부당한회전,76,1,102
2005,10월,부당한회전,77,0,111
2005,10월,기타,265,9,303
2005,10월,기타,192,3,235
2005,11월,우선권양보불이행,2,0,2
2005,11월,우선권양보불이행,1,0,1
2005,11월,진로양보불이행,5,0,6
2005,11월,진로양보불이행,6,0,7
2005,11월,안전운전불이행,5334,178,8034
2005,11월,안전운전불이행,5353,232,8267
2005,11월,교차로운행방법위반,984,7,1631
2005,11월,교차로운행방법위반,636,2,1081
2005,11월,보행자보호의무위반,283,12,295
2005,11월,보행자보호의무위반,209,14,210
2005,11월,차로위반진로변경,44,1,73
2005,11월,차로위반진로변경,34,2,53
2005,11월,직진우회전진행방해,79,0,108
2005,11월,직진우회전진행방해,49,0,75
2005,11월,과속,16,1,23
2005,11월,과속,24,14,23
2005,11월,앞지르기방법위반,2,0,2
2005,11월,앞지르기방법위반,1,0,1
2005,11월,앞지르기금지위반,28,0,47
2005,11월,앞지르기금지위반,10,0,16
2005,11월,중앙선침범,664,33,1263
2005,11월,중앙선침범,623,22,1111
2005,11월,신호위반,1038,14,1684
2005,11월,신호위반,1124,16,1978
2005,11월,안전거리미확보,1015,6,1856
2005,11월,안전거리미확보,928,1,1641
2005,11월,일시정지위반,17,0,25
2005,11월,일시정지위반,10,0,16
2005,11월,부당한회전,96,4,129
2005,11월,부당한회전,108,1,159
2005,11월,기타,233,9,273
2005,11월,기타,171,5,227
2005,11월,정비불량,2,0,20
2005,12월,우선권양보불이행,3,0,4
2005,12월,우선권양보불이행,3,0,5
2005,12월,진로양보불이행,3,0,4
2005,12월,진로양보불이행,1,0,1
2005,12월,안전운전불이행,5015,158,7683
2005,12월,안전운전불이행,5564,244,8662
2005,12월,교차로운행방법위반,781,8,1308
2005,12월,교차로운행방법위반,529,2,901
2005,12월,보행자보호의무위반,251,4,263
2005,12월,보행자보호의무위반,214,14,226
2005,12월,차로위반진로변경,36,0,53
2005,12월,차로위반진로변경,46,0,69
2005,12월,직진우회전진행방해,59,0,94
2005,12월,직진우회전진행방해,50,0,90
2005,12월,과속,17,5,36
2005,12월,과속,20,7,23
2005,12월,앞지르기방법위반,4,1,3
2005,12월,앞지르기방법위반,2,0,4
2005,12월,앞지르기금지위반,15,0,22
2005,12월,앞지르기금지위반,8,1,15
2005,12월,중앙선침범,780,26,1562
2005,12월,중앙선침범,668,25,1278
2005,12월,신호위반,923,7,1480
2005,12월,신호위반,1056,14,1870
2005,12월,안전거리미확보,912,3,1587
2005,12월,안전거리미확보,1031,4,1853
2005,12월,일시정지위반,15,0,20
2005,12월,일시정지위반,8,0,15
2005,12월,부당한회전,80,3,94
2005,12월,부당한회전,87,0,132
2005,12월,기타,184,1,213
2005,12월,기타,136,3,177
2005,12월,정비불량,2,0,2
2005,12월,정비불량,1,0,1
2006,전체,과로,1,1,0
2006,전체,과로,3,1,5
2006,전체,우선권양보불이행,46,0,70
2006,전체,우선권양보불이행,25,0,53
2006,전체,진로양보불이행,94,1,124
2006,전체,진로양보불이행,71,0,103
2006,전체,안전운전불이행,56436,1806,84882
2006,전체,안전운전불이행,61893,2627,94337
2006,전체,교차로운행방법위반,10514,102,17579
2006,전체,교차로운행방법위반,6930,45,11871
2006,전체,보행자보호의무위반,3069,101,3153
2006,전체,보행자보호의무위반,2458,108,2601
2006,전체,차로위반진로변경,754,6,1208
2006,전체,차로위반진로변경,832,11,1390
2006,전체,직진우회전진행방해,987,9,1648
2006,전체,직진우회전진행방해,693,6,1094
2006,전체,철길건널목통과방법,7,0,12
2006,전체,철길건널목통과방법,4,3,1
2006,전체,과속,205,62,370
2006,전체,과속,226,99,283
2006,전체,앞지르기방법위반,57,0,88
2006,전체,앞지르기방법위반,24,2,40
2006,전체,앞지르기금지위반,326,13,498
2006,전체,앞지르기금지위반,98,1,173
2006,전체,중앙선침범,7391,373,14714
2006,전체,중앙선침범,7116,333,12745
2006,전체,신호위반,11814,188,19255
2006,전체,신호위반,13353,196,23935
2006,전체,안전거리미확보,10795,55,19801
2006,전체,안전거리미확보,10738,40,19576
2006,전체,일시정지위반,183,2,305
2006,전체,일시정지위반,80,1,159
2006,전체,부당한회전,942,27,1205
2006,전체,부당한회전,988,10,1382
2006,전체,기타,2585,53,3069
2006,전체,기타,1995,40,2467
2006,전체,정비불량,9,5,15
2006,전체,정비불량,3,0,18
2006,1월,과로,1,1,2
2006,1월,우선권양보불이행,1,0,1
2006,1월,진로양보불이행,3,0,3
2006,1월,진로양보불이행,4,0,8
2006,1월,안전운전불이행,3874,121,5966
2006,1월,안전운전불이행,4446,171,6974
2006,1월,교차로운행방법위반,767,3,1294
2006,1월,교차로운행방법위반,479,3,813
2006,1월,보행자보호의무위반,235,8,250
2006,1월,보행자보호의무위반,154,8,156
2006,1월,차로위반진로변경,37,0,62
2006,1월,차로위반진로변경,43,0,90
2006,1월,직진우회전진행방해,54,0,86
2006,1월,직진우회전진행방해,40,0,60
2006,1월,철길건널목통과방법,1,0,1
2006,1월,철길건널목통과방법,1,0,1
2006,1월,과속,10,2,12
2006,1월,과속,22,10,43
2006,1월,앞지르기방법위반,2,0,3
2006,1월,앞지르기방법위반,1,2,0
2006,1월,앞지르기금지위반,22,1,32
2006,1월,앞지르기금지위반,3,0,4
2006,1월,중앙선침범,571,25,1258
2006,1월,중앙선침범,512,18,958
2006,1월,신호위반,792,17,1360
2006,1월,신호위반,900,17,1693
2006,1월,안전거리미확보,786,6,1355
2006,1월,안전거리미확보,768,2,1476
2006,1월,일시정지위반,7,0,14
2006,1월,일시정지위반,8,0,12
2006,1월,부당한회전,73,1,108
2006,1월,부당한회전,72,0,104
2006,1월,기타,164,2,186
2006,1월,기타,117,2,145
2006,1월,정비불량,1,0,3
2006,2월,우선권양보불이행,2,0,3
2006,2월,진로양보불이행,5,0,10
2006,2월,진로양보불이행,2,0,3
2006,2월,안전운전불이행,3749,99,5793
2006,2월,안전운전불이행,4071,166,6189
2006,2월,교차로운행방법위반,728,3,1235
2006,2월,교차로운행방법위반,480,6,874
2006,2월,보행자보호의무위반,233,6,240
2006,2월,보행자보호의무위반,162,2,171
2006,2월,차로위반진로변경,44,0,65
2006,2월,차로위반진로변경,47,2,80
2006,2월,직진우회전진행방해,72,0,117
2006,2월,직진우회전진행방해,43,0,57
2006,2월,철길건널목통과방법,1,1,0
2006,2월,과속,15,5,25
2006,2월,과속,8,3,9
2006,2월,앞지르기방법위반,3,0,5
2006,2월,앞지르기방법위반,1,0,5
2006,2월,앞지르기금지위반,21,1,41
2006,2월,앞지르기금지위반,6,0,7
2006,2월,중앙선침범,542,26,1028
2006,2월,중앙선침범,512,24,942
2006,2월,신호위반,785,10,1287
2006,2월,신호위반,908,11,1626
2006,2월,안전거리미확보,707,1,1288
2006,2월,안전거리미확보,703,1,1247
2006,2월,일시정지위반,10,0,11
2006,2월,일시정지위반,7,0,22
2006,2월,부당한회전,61,1,90
2006,2월,부당한회전,58,0,92
2006,2월,기타,170,3,200
2006,2월,기타,112,1,138
2006,2월,정비불량,2,1,3
2006,3월,과로,1,1,0
2006,3월,과로,1,0,2
2006,3월,우선권양보불이행,2,0,3
2006,3월,우선권양보불이행,2,0,2
2006,3월,진로양보불이행,13,0,18
2006,3월,진로양보불이행,3,0,3
2006,3월,안전운전불이행,4600,130,6635
2006,3월,안전운전불이행,4737,207,7136
2006,3월,교차로운행방법위반,887,9,1420
2006,3월,교차로운행방법위반,591,1,996
2006,3월,보행자보호의무위반,243,9,244
2006,3월,보행자보호의무위반,196,6,211
2006,3월,차로위반진로변경,40,1,60
2006,3월,차로위반진로변경,51,0,80
2006,3월,직진우회전진행방해,75,0,106
2006,3월,직진우회전진행방해,36,1,64
2006,3월,철길건널목통과방법,1,1,0
2006,3월,과속,14,2,29
2006,3월,과속,16,8,11
2006,3월,앞지르기방법위반,5,0,6
2006,3월,앞지르기방법위반,1,0,1
2006,3월,앞지르기금지위반,23,0,32
2006,3월,앞지르기금지위반,8,0,14
2006,3월,중앙선침범,576,24,1097
2006,3월,중앙선침범,532,27,958
2006,3월,신호위반,889,12,1396
2006,3월,신호위반,1028,8,1881
2006,3월,안전거리미확보,831,5,1416
2006,3월,안전거리미확보,822,3,1484
2006,3월,일시정지위반,16,0,37
2006,3월,일시정지위반,5,0,20
2006,3월,부당한회전,81,2,93
2006,3월,부당한회전,75,1,107
2006,3월,기타,219,4,280
2006,3월,기타,144,3,165
2006,3월,정비불량,2,0,5
2006,3월,정비불량,1,0,1
2006,4월,과로,1,0,1
2006,4월,우선권양보불이행,3,0,8
2006,4월,우선권양보불이행,2,0,2
2006,4월,진로양보불이행,3,0,3
2006,4월,진로양보불이행,4,0,4
2006,4월,안전운전불이행,4972,132,7600
2006,4월,안전운전불이행,5054,201,7637
2006,4월,교차로운행방법위반,862,7,1427
2006,4월,교차로운행방법위반,616,4,1054
2006,4월,보행자보호의무위반,278,4,290
2006,4월,보행자보호의무위반,186,5,200
2006,4월,차로위반진로변경,48,0,83
2006,4월,차로위반진로변경,52,1,92
2006,4월,직진우회전진행방해,62,0,115
2006,4월,직진우회전진행방해,52,0,85
2006,4월,과속,10,3,39
2006,4월,과속,11,5,18
2006,4월,앞지르기방법위반,7,0,14
2006,4월,앞지르기방법위반,1,0,2
2006,4월,앞지르기금지위반,41,2,61
2006,4월,앞지르기금지위반,5,0,7
2006,4월,중앙선침범,562,29,1116
2006,4월,중앙선침범,575,29,1028
2006,4월,신호위반,1009,12,1641
2006,4월,신호위반,1138,14,2026
2006,4월,안전거리미확보,933,5,1852
2006,4월,안전거리미확보,911,3,1587
2006,4월,일시정지위반,11,0,21
2006,4월,일시정지위반,11,0,18
2006,4월,부당한회전,70,2,92
2006,4월,부당한회전,76,1,104
2006,4월,기타,218,7,263
2006,4월,기타,163,3,234
2006,4월,정비불량,1,0,1
2006,5월,우선권양보불이행,4,0,9
2006,5월,우선권양보불이행,1,0,1
2006,5월,진로양보불이행,6,0,8
2006,5월,진로양보불이행,4,0,5
2006,5월,안전운전불이행,5248,168,7854
2006,5월,안전운전불이행,5290,209,7943
2006,5월,교차로운행방법위반,983,5,1658
2006,5월,교차로운행방법위반,643,4,1157
2006,5월,보행자보호의무위반,289,9,295
2006,5월,보행자보호의무위반,205,11,219
2006,5월,차로위반진로변경,51,0,76
2006,5월,차로위반진로변경,51,0,76
2006,5월,직진우회전진행방해,55,0,79
2006,5월,직진우회전진행방해,44,0,85
2006,5월,철길건널목통과방법,1,0,1
2006,5월,철길건널목통과방법,1,1,0
2006,5월,과속,30,5,57
2006,5월,과속,22,7,27
2006,5월,앞지르기방법위반,4,0,6
2006,5월,앞지르기방법위반,3,0,4
2006,5월,앞지르기금지위반,21,1,35
2006,5월,앞지르기금지위반,8,0,15
2006,5월,중앙선침범,647,28,1248
2006,5월,중앙선침범,600,33,1048
2006,5월,신호위반,1100,18,1855
2006,5월,신호위반,1178,14,2117
2006,5월,안전거리미확보,1009,3,1765
2006,5월,안전거리미확보,966,3,1817
2006,5월,일시정지위반,16,0,23
2006,5월,일시정지위반,4,0,7
2006,5월,부당한회전,88,1,112
2006,5월,부당한회전,102,2,127
2006,5월,기타,274,3,323
2006,5월,기타,192,6,227
2006,6월,우선권양보불이행,6,0,8
2006,6월,우선권양보불이행,2,0,16
2006,6월,진로양보불이행,5,0,5
2006,6월,진로양보불이행,8,0,11
2006,6월,안전운전불이행,4641,136,6750
2006,6월,안전운전불이행,5055,178,7514
2006,6월,교차로운행방법위반,888,4,1426
2006,6월,교차로운행방법위반,599,2,992
2006,6월,보행자보호의무위반,212,1,226
2006,6월,보행자보호의무위반,203,7,207
2006,6월,차로위반진로변경,70,0,133
2006,6월,차로위반진로변경,75,0,117
2006,6월,직진우회전진행방해,65,1,95
2006,6월,직진우회전진행방해,59,1,85
2006,6월,철길건널목통과방법,1,0,1
2006,6월,과속,13,5,31
2006,6월,과속,17,5,17
2006,6월,앞지르기방법위반,7,0,9
2006,6월,앞지르기방법위반,4,0,7
2006,6월,앞지르기금지위반,23,1,35
2006,6월,앞지르기금지위반,9,0,16
