시점,월별,가해자음주정도별1,가해자음주정도별2,주야별,사고건수,사망자수,부상자수
2005,전체,음주상태,0.05%미만,주,135,63,238
2005,전체,음주상태,0.05%미만,야,207,69,314
2005,전체,음주운전,측정불응,주,72,1,124
2005,전체,음주운전,측정불응,야,350,1,634
2005,전체,음주운전,0.05%~0.09%,주,1104,58,2120
2005,전체,음주운전,0.05%~0.09%,야,2885,103,5131
2005,전체,음주운전,0.10%~0.14%,주,1546,69,2775
2005,전체,음주운전,0.10%~0.14%,야,6457,175,11848
2005,전체,음주운전,0.15%~0.19%,주,1581,51,2831
2005,전체,음주운전,0.15%~0.19%,야,7042,209,12904
2005,전체,음주운전,0.20%~0.24%,주,808,36,1380
2005,전체,음주운전,0.20%~0.24%,야,3227,131,5942
2005,전체,음주운전,0.25%~0.29%,주,312,18,513
2005,전체,음주운전,0.25%~0.29%,야,796,40,1439
2005,전체,음주운전,0.30%~0.34%,주,79,1,141
2005,전체,음주운전,0.30%~0.34%,야,137,12,265
2005,전체,음주운전,0.35%이상,주,21,0,28
2005,전체,음주운전,0.35%이상,야,43,5,78
2005,전체,측정불능,측정불능,주,5,0,6
2005,전체,측정불능,측정불능,야,8,0,10
2005,전체,해당 없음,해당 없음,주,102645,2494,162490
2005,전체,해당 없음,해당 없음,야,81745,2758,127598
2005,전체,기타불명,기타불명,주,1252,18,1423
2005,전체,기타불명,기타불명,야,1714,64,2001
2005,1월,음주상태,0.05%미만,주,11,6,8
2005,1월,음주상태,0.05%미만,야,15,5,23
2005,1월,음주운전,측정불응,주,4,0,6
2005,1월,음주운전,측정불응,야,30,0,54
2005,1월,음주운전,0.05%~0.09%,주,95,2,172
2005,1월,음주운전,0.05%~0.09%,야,245,9,439
2005,1월,음주운전,0.10%~0.14%,주,123,4,216
2005,1월,음주운전,0.10%~0.14%,야,532,11,1004
2005,1월,음주운전,0.15%~0.19%,주,94,0,176
2005,1월,음주운전,0.15%~0.19%,야,462,20,862
2005,1월,음주운전,0.20%~0.24%,주,40,1,71
2005,1월,음주운전,0.20%~0.24%,야,170,12,296
2005,1월,음주운전,0.25%~0.29%,주,8,0,16
2005,1월,음주운전,0.25%~0.29%,야,22,1,44
2005,1월,음주운전,0.30%~0.34%,주,3,0,3
2005,1월,음주운전,0.30%~0.34%,야,5,1,7
2005,1월,음주운전,0.35%이상,야,4,1,5
2005,1월,측정불능,측정불능,야,2,0,3
2005,1월,해당 없음,해당 없음,주,7485,191,12160
2005,1월,해당 없음,해당 없음,야,5960,238,9641
2005,1월,기타불명,기타불명,주,83,0,97
2005,1월,기타불명,기타불명,야,101,2,110
2005,2월,음주상태,0.05%미만,주,10,6,13
2005,2월,음주상태,0.05%미만,야,10,2,16
2005,2월,음주운전,측정불응,주,6,0,7
2005,2월,음주운전,측정불응,야,20,0,31
2005,2월,음주운전,0.05%~0.09%,주,77,3,127
2005,2월,음주운전,0.05%~0.09%,야,268,14,451
2005,2월,음주운전,0.10%~0.14%,주,101,10,183
2005,2월,음주운전,0.10%~0.14%,야,510,14,958
2005,2월,음주운전,0.15%~0.19%,주,95,0,170
2005,2월,음주운전,0.15%~0.19%,야,442,10,776
2005,2월,음주운전,0.20%~0.24%,주,37,6,55
2005,2월,음주운전,0.20%~0.24%,야,177,9,324
2005,2월,음주운전,0.25%~0.29%,주,13,3,21
2005,2월,음주운전,0.25%~0.29%,야,29,3,67
2005,2월,음주운전,0.30%~0.34%,주,2,0,4
2005,2월,음주운전,0.30%~0.34%,야,5,1,6
2005,2월,음주운전,0.35%이상,주,1,0,1
2005,2월,측정불능,측정불능,주,1,0,1
2005,2월,해당 없음,해당 없음,주,6151,142,10143
2005,2월,해당 없음,해당 없음,야,5079,202,8038
2005,2월,기타불명,기타불명,주,77,2,91
2005,2월,기타불명,기타불명,야,133,4,152
2005,3월,음주상태,0.05%미만,주,8,5,7
2005,3월,음주상태,0.05%미만,야,13,5,16
