시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2005,전체,일,일반국도,5467,298,11576
2005,전체,일,지방도,2029,107,3810
2005,전체,일,특별광역시도,9942,210,16869
2005,전체,일,시도,7232,141,12212
2005,전체,일,군도,1306,72,2158
2005,전체,일,고속국도,707,82,2316
2005,전체,일,기타/불명,1527,38,2252
2005,전체,월,일반국도,5273,275,9171
2005,전체,월,지방도,2137,132,3540
2005,전체,월,특별광역시도,10409,188,15253
2005,전체,월,시도,7747,154,11434
2005,전체,월,군도,1330,67,1986
2005,전체,월,고속국도,539,42,1321
2005,전체,월,기타/불명,1788,25,2421
2005,전체,화,일반국도,5055,265,8746
2005,전체,화,지방도,2075,119,3347
2005,전체,화,특별광역시도,11463,177,17215
2005,전체,화,시도,8194,178,12259
2005,전체,화,군도,1243,62,1698
2005,전체,화,고속국도,474,63,1092
2005,전체,화,기타/불명,1825,22,2473
2005,전체,수,일반국도,5132,278,8662
2005,전체,수,지방도,2150,115,3506
2005,전체,수,특별광역시도,11248,171,16573
2005,전체,수,시도,8288,152,12399
2005,전체,수,군도,1285,71,1820
2005,전체,수,고속국도,508,58,1269
2005,전체,수,기타/불명,1831,19,2606
2005,전체,목,일반국도,4914,269,8513
2005,전체,목,지방도,2057,118,3301
2005,전체,목,특별광역시도,11103,173,16590
2005,전체,목,시도,8046,177,11842
2005,전체,목,군도,1202,70,1693
2005,전체,목,고속국도,503,52,1182
2005,전체,목,기타/불명,1788,35,2435
2005,전체,금,일반국도,5588,319,9626
2005,전체,금,지방도,2209,119,3629
2005,전체,금,특별광역시도,11844,172,17655
2005,전체,금,시도,8940,189,13296
2005,전체,금,군도,1303,76,1876
2005,전체,금,고속국도,560,63,1239
2005,전체,금,기타/불명,2000,14,2704
2005,전체,토,일반국도,5993,324,11524
2005,전체,토,지방도,2390,143,4128
2005,전체,토,특별광역시도,12198,175,19155
2005,전체,토,시도,9130,166,14545
2005,전체,토,군도,1386,76,2029
2005,전체,토,고속국도,822,42,2382
2005,전체,토,기타/불명,1991,23,2905
2005,1월,일,일반국도,438,15,910
2005,1월,일,지방도,163,13,325
2005,1월,일,특별광역시도,846,13,1557
2005,1월,일,시도,512,9,882
2005,1월,일,군도,73,5,123
2005,1월,일,고속국도,56,5,152
2005,1월,일,기타/불명,130,2,185
2005,1월,월,일반국도,555,33,979
2005,1월,월,지방도,215,12,378
2005,1월,월,특별광역시도,909,23,1343
2005,1월,월,시도,593,9,889
2005,1월,월,군도,108,9,211
2005,1월,월,고속국도,51,4,128
2005,1월,월,기타/불명,152,3,228
2005,1월,화,일반국도,390,19,681
2005,1월,화,지방도,178,9,315
2005,1월,화,특별광역시도,753,11,1126
2005,1월,화,시도,459,10,694
2005,1월,화,군도,81,3,125
2005,1월,화,고속국도,21,6,38
2005,1월,화,기타/불명,128,2,164
2005,1월,수,일반국도,410,27,662
2005,1월,수,지방도,171,10,266
2005,1월,수,특별광역시도,705,15,1027
2005,1월,수,시도,486,9,720
2005,1월,수,군도,82,5,106
2005,1월,수,고속국도,40,4,102
2005,1월,수,기타/불명,132,1,177
2005,1월,목,일반국도,365,15,625
2005,1월,목,지방도,166,14,268
2005,1월,목,특별광역시도,656,11,971
2005,1월,목,시도,478,9,691
2005,1월,목,군도,87,4,111
2005,1월,목,고속국도,40,10,70
2005,1월,목,기타/불명,128,4,166
2005,1월,금,일반국도,379,16,647
2005,1월,금,지방도,177,8,306
2005,1월,금,특별광역시도,706,8,1085
2005,1월,금,시도,498,17,754
2005,1월,금,군도,94,7,128
2005,1월,금,고속국도,39,7,74
2005,1월,금,기타/불명,116,1,146
2005,1월,토,일반국도,588,37,1221
2005,1월,토,지방도,222,11,415
2005,1월,토,특별광역시도,955,13,1557
2005,1월,토,시도,623,14,1035
2005,1월,토,군도,105,7,172
2005,1월,토,고속국도,77,2,231
2005,1월,토,기타/불명,158,3,247
2005,2월,일,일반국도,321,21,609
2005,2월,일,지방도,108,7,184
2005,2월,일,특별광역시도,587,14,1030
2005,2월,일,시도,425,11,722
2005,2월,일,군도,58,5,106
2005,2월,일,고속국도,35,14,92
