시점,월별,사고유형별1,사고유형별2,사고건수,사망자수,부상자수
2005,전체,차대사람,횡단중,20758,1323,20642
2005,전체,차대사람,차도통행중,5162,296,5163
2005,전체,차대사람,길가장자리구역통행중,2713,129,2836
2005,전체,차대사람,보도통행중,2346,81,2531
2005,전체,차대사람,기타/불명,15615,628,16110
2005,전체,차대차,충돌,69641,1292,120446
2005,전체,차대차,기타/불명,38061,697,60841
2005,전체,차대차,진행중 추돌,25584,392,48504
2005,전체,차대차,주정차중 추돌,25777,278,53214
2005,전체,차량단독,전도/전복,962,207,1573
2005,전체,차량단독,충돌,2558,497,3712
2005,전체,차량단독,추락,463,169,726
2005,전체,차량단독,기타이탈,455,87,847
2005,전체,차량단독,기타/불명,4066,294,5077
2005,전체,철길건널목,경보기 무시,3,3,3
2005,전체,철길건널목,직전진행,2,1,2
2005,전체,철길건널목,기타/불명,5,2,6
2005,1월,차대사람,횡단중,1414,120,1360
2005,1월,차대사람,차도통행중,454,23,452
2005,1월,차대사람,길가장자리구역통행중,208,16,211
2005,1월,차대사람,보도통행중,384,18,391
2005,1월,차대사람,기타/불명,572,20,593
2005,1월,차대차,충돌,5324,95,9604
2005,1월,차대차,기타/불명,2669,52,4433
2005,1월,차대차,진행중 추돌,1912,29,3618
2005,1월,차대차,주정차중 추돌,1881,19,3803
2005,1월,차량단독,전도/전복,74,19,120
2005,1월,차량단독,충돌,230,48,332
2005,1월,차량단독,추락,40,17,50
2005,1월,차량단독,기타이탈,46,4,90
2005,1월,차량단독,기타/불명,284,22,356
2005,1월,철길건널목,경보기 무시,1,1,0
2005,1월,철길건널목,기타/불명,1,1,0
2005,2월,차대사람,횡단중,1245,96,1209
2005,2월,차대사람,차도통행중,405,25,404
2005,2월,차대사람,길가장자리구역통행중,177,12,180
2005,2월,차대사람,보도통행중,108,2,112
2005,2월,차대사람,기타/불명,866,37,881
2005,2월,차대차,충돌,4470,82,7845
2005,2월,차대차,기타/불명,2239,48,3664
2005,2월,차대차,진행중 추돌,1634,22,3158
2005,2월,차대차,주정차중 추돌,1581,14,3482
2005,2월,차량단독,전도/전복,58,19,85
2005,2월,차량단독,충돌,153,34,212
2005,2월,차량단독,추락,34,9,65
2005,2월,차량단독,기타이탈,31,9,45
2005,2월,차량단독,기타/불명,242,22,292
2005,2월,철길건널목,직전진행,1,0,1
2005,3월,차대사람,횡단중,1833,108,1813
2005,3월,차대사람,차도통행중,478,25,481
2005,3월,차대사람,길가장자리구역통행중,226,5,230
2005,3월,차대사람,보도통행중,168,6,181
2005,3월,차대사람,기타/불명,1169,42,1228
2005,3월,차대차,충돌,5412,96,9121
2005,3월,차대차,기타/불명,2757,40,4337
2005,3월,차대차,진행중 추돌,1942,37,3519
2005,3월,차대차,주정차중 추돌,1955,22,3821
2005,3월,차량단독,전도/전복,63,21,69
2005,3월,차량단독,충돌,199,29,253
2005,3월,차량단독,추락,44,16,60
2005,3월,차량단독,기타이탈,27,11,67
2005,3월,차량단독,기타/불명,307,19,370
2005,4월,차대사람,횡단중,1873,94,1890
2005,4월,차대사람,차도통행중,497,26,495
2005,4월,차대사람,길가장자리구역통행중,261,10,287
2005,4월,차대사람,보도통행중,222,5,255
2005,4월,차대사람,기타/불명,1366,48,1415
2005,4월,차대차,충돌,5733,108,9872
2005,4월,차대차,기타/불명,3087,58,4775
2005,4월,차대차,진행중 추돌,2046,25,4000
2005,4월,차대차,주정차중 추돌,2015,21,4233
2005,4월,차량단독,전도/전복,66,11,81
2005,4월,차량단독,충돌,227,49,312
2005,4월,차량단독,추락,27,11,42
2005,4월,차량단독,기타이탈,37,7,49
