시점,월별,시도별,사고건수,사망자수,부상자수
2005,전체,서울,38610,485,57434
2005,전체,부산,11873,262,17829
2005,전체,대구,12252,235,17957
2005,전체,인천,11709,207,18467
2005,전체,광주,7797,103,12134
2005,전체,대전,5399,116,8857
2005,전체,울산,4359,115,6576
2005,전체,경기,43595,1199,73705
2005,전체,강원,8682,323,15634
2005,전체,충북,7673,325,12866
2005,전체,충남,8646,583,14893
2005,전체,전북,9823,448,16476
2005,전체,전남,10472,554,17575
2005,전체,경북,16772,734,26277
2005,전체,경남,13343,579,20637
2005,전체,제주,3166,108,4916
2005,1월,서울,2836,31,4411
2005,1월,부산,751,17,1076
2005,1월,대구,777,21,1162
2005,1월,인천,937,24,1488
2005,1월,광주,548,12,856
2005,1월,대전,389,13,657
2005,1월,울산,313,3,490
2005,1월,경기,3334,84,5785
2005,1월,강원,578,21,1073
2005,1월,충북,527,21,908
2005,1월,충남,630,54,1134
2005,1월,전북,687,42,1212
2005,1월,전남,762,44,1321
2005,1월,경북,1223,57,1978
2005,1월,경남,969,43,1495
2005,1월,제주,233,17,367
2005,2월,서울,2336,35,3509
2005,2월,부산,679,12,1077
2005,2월,대구,686,12,1022
2005,2월,인천,781,11,1242
2005,2월,광주,523,4,872
2005,2월,대전,357,5,590
2005,2월,울산,277,13,447
2005,2월,경기,2690,86,4596
2005,2월,강원,497,14,902
2005,2월,충북,468,25,828
2005,2월,충남,582,57,982
2005,2월,전북,612,31,1075
2005,2월,전남,683,37,1231
2005,2월,경북,1012,44,1616
2005,2월,경남,826,37,1267
2005,2월,제주,235,8,379
2005,3월,서울,3000,35,4235
2005,3월,부산,931,16,1423
2005,3월,대구,931,12,1335
2005,3월,인천,872,20,1345
2005,3월,광주,691,14,1067
2005,3월,대전,436,13,648
2005,3월,울산,311,11,453
2005,3월,경기,3387,95,5461
2005,3월,강원,607,21,1004
2005,3월,충북,606,35,947
2005,3월,충남,644,41,1099
2005,3월,전북,788,23,1348
2005,3월,전남,784,38,1283
2005,3월,경북,1238,50,1857
2005,3월,경남,1096,46,1682
2005,3월,제주,258,7,363
2005,4월,서울,3287,36,4861
2005,4월,부산,1005,14,1535
2005,4월,대구,951,25,1400
2005,4월,인천,951,14,1501
2005,4월,광주,639,10,972
2005,4월,대전,475,11,744
2005,4월,울산,387,4,607
2005,4월,경기,3516,88,5908
2005,4월,강원,662,30,1031
2005,4월,충북,647,31,1058
2005,4월,충남,737,52,1263
2005,4월,전북,863,37,1410
2005,4월,전남,858,53,1449
2005,4월,경북,1386,59,2121
2005,4월,경남,1216,36,1905
2005,4월,제주,237,7,366
2005,5월,서울,3379,41,4942
2005,5월,부산,1153,28,1686
2005,5월,대구,1066,23,1575
2005,5월,인천,1080,16,1676
2005,5월,광주,716,6,1066
2005,5월,대전,463,8,720
2005,5월,울산,371,11,539
2005,5월,경기,3956,108,6577
2005,5월,강원,733,21,1285
2005,5월,충북,695,34,1132
2005,5월,충남,762,66,1216
2005,5월,전북,918,35,1505
2005,5월,전남,922,57,1419
2005,5월,경북,1469,61,2332
2005,5월,경남,1158,49,1743
2005,5월,제주,244,7,395
2005,6월,서울,3151,37,4613
2005,6월,부산,1041,28,1555
2005,6월,대구,1082,13,1642
2005,6월,인천,1007,13,1558
2005,6월,광주,639,3,941
2005,6월,대전,442,5,730
2005,6월,울산,407,8,654
2005,6월,경기,3554,97,5814
2005,6월,강원,763,27,1500
2005,6월,충북,648,17,1091
2005,6월,충남,786,40,1325
2005,6월,전북,777,27,1261
2005,6월,전남,926,43,1548
2005,6월,경북,1425,70,2136
2005,6월,경남,1179,40,1836
2005,6월,제주,265,8,390
2005,7월,서울,3362,49,5021
2005,7월,부산,1064,25,1592
2005,7월,대구,1167,18,1710
2005,7월,인천,1000,15,1580
2005,7월,광주,682,8,1092
2005,7월,대전,494,6,859
2005,7월,울산,360,6,496
2005,7월,경기,3726,85,6425
2005,7월,강원,849,40,1542
2005,7월,충북,670,35,1086
2005,7월,충남,736,47,1255
2005,7월,전북,843,36,1391
2005,7월,전남,854,47,1425
2005,7월,경북,1437,65,2269
2005,7월,경남,1149,41,1774
2005,7월,제주,282,5,467
2005,8월,서울,3328,52,4946
2005,8월,부산,1073,33,1618
2005,8월,대구,1138,27,1658
2005,8월,인천,974,17,1621
2005,8월,광주,635,9,934
2005,8월,대전,472,6,798
2005,8월,울산,367,9,573
2005,8월,경기,3849,101,6818
2005,8월,강원,951,30,1933
2005,8월,충북,677,26,1172
2005,8월,충남,807,45,1534
2005,8월,전북,925,47,1603
2005,8월,전남,919,54,1573
2005,8월,경북,1499,51,2491
2005,8월,경남,1141,49,1901
2005,8월,제주,280,6,430
2005,9월,서울,3448,53,5060
2005,9월,부산,1068,11,1581
2005,9월,대구,1082,18,1563
2005,9월,인천,990,17,1572
2005,9월,광주,666,11,1045
2005,9월,대전,492,18,859
2005,9월,울산,364,7,572
2005,9월,경기,3757,124,6301
2005,9월,강원,763,32,1328
2005,9월,충북,756,22,1263
2005,9월,충남,712,38,1184
2005,9월,전북,880,36,1506
2005,9월,전남,937,48,1500
2005,9월,경북,1472,69,2305
2005,9월,경남,1096,58,1774
2005,9월,제주,276,15,418
2005,10월,서울,3362,34,5039
2005,10월,부산,1054,31,1575
2005,10월,대구,1170,17,1718
2005,10월,인천,1007,23,1576
2005,10월,광주,765,12,1221
2005,10월,대전,465,11,741
2005,10월,울산,457,21,669
2005,10월,경기,4030,117,6905
2005,10월,강원,860,26,1580
2005,10월,충북,685,24,1176
2005,10월,충남,804,45,1366
2005,10월,전북,953,65,1527
2005,10월,전남,1038,51,1748
2005,10월,경북,1636,82,2503
2005,10월,경남,1167,67,1766
2005,10월,제주,304,13,487
2005,11월,서울,3386,43,5050
2005,11월,부산,1051,25,1571
2005,11월,대구,1139,21,1611
2005,11월,인천,1051,20,1609
2005,11월,광주,716,10,1129
2005,11월,대전,467,8,772
2005,11월,울산,386,11,560
2005,11월,경기,3820,96,6409
2005,11월,강원,744,30,1307
2005,11월,충북,675,31,1149
2005,11월,충남,804,49,1418
2005,11월,전북,829,42,1324
2005,11월,전남,976,56,1682
2005,11월,경북,1559,66,2407
2005,11월,경남,1254,56,1889
2005,11월,제주,272,10,450
2005,12월,서울,3735,39,5747
2005,12월,부산,1003,22,1540
2005,12월,대구,1063,28,1561
2005,12월,인천,1059,17,1699
2005,12월,광주,577,4,939
2005,12월,대전,447,12,739
2005,12월,울산,359,11,516
2005,12월,경기,3976,118,6706
2005,12월,강원,675,31,1149
2005,12월,충북,619,24,1056
2005,12월,충남,642,49,1117
2005,12월,전북,748,27,1314
2005,12월,전남,813,26,1396
2005,12월,경북,1416,60,2262
2005,12월,경남,1092,57,1605
2005,12월,제주,280,5,404
2006,전체,서울,38298,452,56522
2006,전체,부산,12853,252,19310
2006,전체,대구,13097,227,19646
2006,전체,인천,10909,180,17024
2006,전체,광주,8027,134,12912
2006,전체,대전,5465,125,8822
2006,전체,울산,4548,125,7129
2006,전체,경기,42036,1239,70260
2006,전체,강원,8593,308,15289
2006,전체,충북,7922,325,13200
2006,전체,충남,8419,566,14222
2006,전체,전북,9472,447,15518
2006,전체,전남,10642,524,18148
2006,전체,경북,16784,752,26281
2006,전체,경남,13404,563,20824
2006,전체,제주,3276,108,5122
2006,1월,서울,2513,24,3865
2006,1월,부산,1031,20,1545
2006,1월,대구,999,18,1582
2006,1월,인천,828,13,1321
2006,1월,광주,511,6,812
2006,1월,대전,381,8,591
2006,1월,울산,330,7,533
2006,1월,경기,2900,89,4888
2006,1월,강원,632,28,1238
2006,1월,충북,509,19,935
2006,1월,충남,568,35,1020
2006,1월,전북,633,20,1020
2006,1월,전남,685,29,1191
2006,1월,경북,1208,42,2011
2006,1월,경남,1005,53,1596
2006,1월,제주,238,9,385
2006,2월,서울,2560,19,3815
